bmj-0-0,karen born,assistant professor,university of toronto
bmj-0-1,emma brown,lawyer (patient reviewer),na
bmj-0-2,madhan balasubramanian,sidney sax nhmrc research fellow,university of sydney & kings college london
bmj-10-0,jon deeks,professor of biostatistics,university of birmingham
bmj-100-0,jane cottingham,independent consultant,none
bmj-100-1,pascale allotey,director,unu-iigh
bmj-100-2,luca berro pizzarossa,researcher,"university of groningen, global health law centre"
bmj-100-3,sheherezade kara,human rights consultant,independent
bmj-100-4,cecilia chung,senior director of strategic initiatives and evaluation,transgender law center
bmj-102-0,"dean a. seehusen, md, mph",associate dean for graduate medical education,the medical college of georgia at augusta university
bmj-102-1,eric sun,assistant professor,stanford university
bmj-102-2,thomas rapp,associate professor,universit paris descartes
bmj-102-3,richard l barger jr,clinical assistant professor of radiology,university hospitals of cleveland
bmj-103-0,roger e thomas,emeritus professor of family medicine,university of calgary
bmj-103-1,ke rtqvist,associate professor,karolinska institutet
bmj-103-2,meredith mcmorrow,influenza program director,cdc-south africa
bmj-106-0,suzie bailey,director of leadership & organisational development,the king's fund
bmj-106-1,aled jones,reader in patient safety & healthcare quality,cardiff university
bmj-107-0,simon pearce,prof. of endocrinology,newcastle university
bmj-107-1,dr trevor a howlett,emeritus consultant physician and endocrinologist,leicester royal infirmary
bmj-107-2,scott wilkes,"head, school of medicine & professor of general practice and primary care",university of sunderland
bmj-107-3,amanda brewster,chair,happi (healthier ageing patient & public involvement) group
bmj-108-0,dorothy becker,prof pediatrics,childrens hopital and university of pittsburgh
bmj-108-1,lotte klim,ux & patient engagement consultant,patientpartners
bmj-108-2,ki-ho song,professor,the catholic university of korea
bmj-108-3,giuseppe pugliese,professor of endocrinology,"sapienza university, rome, italy"
bmj-108-4,jamie kirkham,md,university of liverpool
bmj-109-0,peter green,retired,ex-nhs business services authority
bmj-109-1,paul j. rosch,clinical professor of medicine,new york medical college
bmj-109-2,mats lekander,professor,karolinska institutet
bmj-11-0,angie wade,professor of medical statistics,university college london
bmj-110-0,colin angus,senior research fellow,university of sheffield
bmj-110-1,michael f jacobson,senior scientist,center for science in the public interest
bmj-110-2,yeyi zhu,research scientist; assistant adjunct professor,"kaiser permanente northern california division of research; university of california, san"
bmj-112-0,wu yihua,associate professor,"zhejiang university, china"
bmj-112-2,roberd m. bostick,professor,emory university
bmj-113-0,masamitsu kamada,assistant professor,the university of tokyo
bmj-113-1,paullee,assistant professor,hong kong polytechnic university
bmj-113-2,jochen klenk,professor,institute of epidemiology and medical biometry
bmj-113-3,jungwha lee,association professor,northwestern university
bmj-113-4,rafael perera,professor of medical statistics,university of oxford
bmj-114-0,chris maher,professor,the university of sydney
bmj-114-1,bart koes,professor of general practice,erasmus mc
bmj-114-2,michele curatolo,prof.,university of washington
bmj-114-3,trudy bekkering,researcher,"academic center of general practice, ku leuven"
bmj-114-4,robert j. nisbet,expert by experience,none
bmj-114-5,baogan peng,"spinal surgeon, professor, chairman","general hospital of armed police force, beijing, china"
bmj-114-6,alessandro chiarotto,post-doctoral researcher,"department of general practice, erasmus mc, university medical center"
bmj-114-7,nadine foster,nihr professor of musculoskeletal health in primary care,research institute for primary care and health sciences
bmj-114-8,steven atlas,"director, practice-based research & quality improvement",massachusetts general hospital
bmj-115-0,chris maher,professor,the university of sydney
bmj-115-1,bart koes,professor of general practice,erasmus mc
bmj-115-2,michele curatolo,prof.,university of washington
bmj-115-3,trudy bekkering,researcher,"academic center of general practice, ku leuven"
bmj-115-4,robert j. nisbet,expert by experience,none
bmj-115-5,baogan peng,"spinal surgeon, professor, chairman","general hospital of armed police force, beijing, china"
bmj-115-6,alessandro chiarotto,post-doctoral researcher,"department of general practice, erasmus mc, university medical center"
bmj-115-7,nadine foster,nihr professor of musculoskeletal health in primary care,research institute for primary care and health sciences
bmj-115-8,steven atlas,"director, practice-based research & quality improvement",massachusetts general hospital
bmj-116-0,arne astrup,"head of department, professor, md, dmsc",university of copenhagen
bmj-116-1,sonia blanco mejia,senior research associate,st michael's hospital
bmj-116-2,gang liu,research associate,harvard t.h. chan school of public health
bmj-116-3,angie wade,professor of medical statistics,ucl gos institute of child health
bmj-119-0,"jeff rabin, od, ms, phd","asst dean, professor",uiw rosenberg school of optometry
bmj-119-1,carlo agostoni,professor,"department of clinical sciences and community health, university of milan,"
bmj-119-2,joshua jeong,postdoctoral fellow,harvard t.h. chan school of public health
bmj-121-0,mario gaudino,professor of cardiothoracic surgery,cornell medicine
bmj-121-1,saurav chatterjee,"staff interventional cardiologist, assistant professor of medicine",hoffman heart institute of the saint francis hospital and medical center
bmj-121-2,ahran arnold,clinical research fellow in cardiology,imperial college london
