bmj-0-0,Karen Born,Assistant Professor,University of Toronto
bmj-0-1,Emma Brown,Lawyer (patient reviewer),NA
bmj-0-2,Madhan Balasubramanian,Sidney Sax NHMRC Research Fellow,University of Sydney & Kings College London
bmj-10-0,Jon Deeks,Professor of Biostatistics,University of Birmingham
bmj-100-0,Jane Cottingham,Independent consultant,None
bmj-100-1,Pascale Allotey,Director,UNU-IIGH
bmj-100-2,Luca Berro Pizzarossa,Researcher,"University of Groningen, Global Health Law Centre"
bmj-100-3,Sheherezade Kara,Human Rights Consultant,independent
bmj-100-4,Cecilia Chung,Senior Director of Strategic Initiatives and Evaluation,Transgender Law Center
bmj-102-0,"Dean A. Seehusen, MD, MPH",Associate Dean for Graduate Medical Education,The Medical College of Georgia at Augusta University
bmj-102-1,Eric Sun,Assistant Professor,Stanford University
bmj-102-2,Thomas Rapp,Associate Professor,Universit Paris Descartes
bmj-102-3,Richard L Barger Jr,Clinical Assistant Professor of Radiology,University Hospitals of Cleveland
bmj-103-0,Roger Edmund Thomas,Emeritus Professor of Family Medicine,University of Calgary
bmj-103-1,ke rtqvist,Associate Professor,Karolinska Institutet
bmj-103-2,Meredith McMorrow,Influenza Program Director,CDC-South Africa
bmj-106-0,Suzie Bailey,Director of Leadership & Organisational Development,The King's Fund
bmj-106-1,Aled Jones,Reader in Patient Safety & Healthcare Quality,Cardiff University
bmj-107-0,Simon Pearce,Prof. of Endocrinology,Newcastle University
bmj-107-1,Dr Trevor A Howlett,Emeritus Consultant Physician and Endocrinologist,Leicester Royal Infirmary
bmj-107-2,Scott Wilkes,"Head, School of Medicine & Professor of General Practice and Primary Care",University of Sunderland
bmj-107-3,Amanda Brewster,Chair,HAPPI (Healthier Ageing Patient & Public Involvement) Group
bmj-108-0,Dorothy Becker,Prof Pediatrics,Childrens Hopital and University of Pittsburgh
bmj-108-1,Lotte Klim,UX & Patient Engagement Consultant,PatientPartners
bmj-108-2,Ki-Ho Song,Professor,The Catholic University of Korea
bmj-108-3,Giuseppe Pugliese,Professor of Endocrinology,"Sapienza University, Rome, Italy"
bmj-108-4,Jamie Kirkham,MD,University of Liverpool
bmj-109-0,Peter Green,Retired,ex-NHS Business Services Authority
bmj-109-1,Paul J. Rosch,Clinical Professor of Medicine,New York Medical College
bmj-109-2,Mats Lekander,Professor,Karolinska Institutet
bmj-11-0,Angie wade,Professor of Medical Statistics,University College London
bmj-110-0,Colin Angus,Senior Research Fellow,University of Sheffield
bmj-110-1,Michael F Jacobson,Senior Scientist,Center for Science in the Public Interest
bmj-110-2,Yeyi Zhu,Research Scientist; Assistant Adjunct Professor,"Kaiser Permanente Northern California Division of Research; University of California, San"
bmj-112-0,Wu Yihua,Associate Professor,"Zhejiang University, China"
bmj-112-2,Roberd M. Bostick,Professor,Emory University
bmj-113-0,Masamitsu Kamada,Assistant Professor,The University of Tokyo
bmj-113-1,PaulLee,Assistant Professor,Hong Kong Polytechnic University
bmj-113-2,Jochen Klenk,Professor,Institute of Epidemiology and Medical Biometry
bmj-113-3,Jungwha Lee,Association Professor,Northwestern University
bmj-113-4,Rafael Perera,Professor of Medical Statistics,University of Oxford
bmj-114-0,Chris Maher,Professor,The University of Sydney
bmj-114-1,Bart Koes,Professor of General Practice,Erasmus MC
bmj-114-2,Michele Curatolo,Prof.,University of Washington
bmj-114-3,Trudy Bekkering,researcher,"Academic Center of General Practice, KU Leuven"
bmj-114-4,Robert J. Nisbet,Expert by Experience,None
bmj-114-5,Baogan Peng,"Spinal surgeon, Professor, Chairman","General Hospital of Armed Police Force, Beijing, China"
bmj-114-6,Alessandro Chiarotto,Post-doctoral researcher,"Department of General Practice, Erasmus MC, University Medical Center"
bmj-114-7,Nadine Foster,NIHR Professor of Musculoskeletal Health in Primary Care,Research Institute for Primary Care and Health Sciences
bmj-114-8,Steven Atlas,"Director, Practice-Based Research & Quality Improvement",Massachusetts General Hospital
bmj-115-0,Chris Maher,Professor,The University of Sydney
bmj-115-1,Bart Koes,Professor of General Practice,Erasmus MC
bmj-115-2,Michele Curatolo,Prof.,University of Washington
bmj-115-3,Trudy Bekkering,researcher,"Academic Center of General Practice, KU Leuven"
bmj-115-4,Robert J. Nisbet,Expert by Experience,None
bmj-115-5,Baogan Peng,"Spinal surgeon, Professor, Chairman","General Hospital of Armed Police Force, Beijing, China"
bmj-115-6,Alessandro Chiarotto,Post-doctoral researcher,"Department of General Practice, Erasmus MC, University Medical Center"
bmj-115-7,Nadine Foster,NIHR Professor of Musculoskeletal Health in Primary Care,Research Institute for Primary Care and Health Sciences
bmj-115-8,Steven Atlas,"Director, Practice-Based Research & Quality Improvement",Massachusetts General Hospital
