f1000-6-1335-0,adrian g. barnett 
f1000-6-1335-2,adrian g. barnett 
f1000-6-1808-0,adrian g. barnett 
f1000-6-1808-1,adrian g. barnett 
f1000-8-851-1,adrian g. barnett 
f1000-5-1356-2,alejandro reyes 
f1000-6-1558-1,alejandro reyes 
f1000-7-741-0,alejandro reyes 
f1000-8-265-0,alejandro reyes 
f1000-8-265-4,alejandro reyes 
f1000-2-2-2,alex bateman 
f1000-6-2012-2,alex bateman 
f1000-6-2185-1,alex bateman 
f1000-6-2185-4,alex bateman 
f1000-9-213-0,alex bateman 
f1000-3-142-0,alexander pico 
f1000-3-43-0,alexander pico 
f1000-5-635-1,alexander pico 
f1000-7-519-1,alexander pico 
f1000-7-519-4,alexander pico 
f1000-7-727-1,alexander pico 
f1000-4-68-0,alfonso j. rodriguez-morales 
f1000-4-68-3,alfonso j. rodriguez-morales 
f1000-5-40-2,alfonso j. rodriguez-morales 
f1000-7-196-0,alfonso j. rodriguez-morales 
f1000-9-362-0,alfonso j. rodriguez-morales 
f1000-6-1489-0,ana marusic 
f1000-6-1489-3,ana marusic 
f1000-7-1721-1,ana marusic 
f1000-8-1852-0,ana marusic 
f1000-8-1852-2,ana marusic 
f1000-8-1852-4,ana marusic 
f1000-9-823-1,ana marusic 
f1000-3-188-1,andrea cavanna
f1000-5-2255-2,andrea cavanna
f1000-5-696-1,andrea cavanna
f1000-9-257-1,andrea cavanna
f1000-9-505-1,andrea cavanna
f1000-3-119-2,andrew d. chalmers
f1000-3-232-2,andrew d. chalmers
f1000-3-244-1,andrew d. chalmers
f1000-3-244-3,andrew d. chalmers
f1000-4-148-1,andrew d. chalmers
f1000-4-148-4,andrew d. chalmers
f1000-4-810-1,andrew d. chalmers
f1000-6-851-0,andrew d. chalmers
f1000-3-139-0,ankush sharma 
f1000-3-139-2,ankush sharma 
f1000-4-476-0,ankush sharma 
f1000-4-484-2,ankush sharma 
f1000-4-484-3,ankush sharma 
f1000-5-1963-0,ankush sharma 
f1000-5-1963-2,ankush sharma 
f1000-5-2524-0,ankush sharma 
f1000-8-1675-1,arika bridhikitti
f1000-8-1675-2,arika bridhikitti
f1000-8-1675-4,arika bridhikitti
f1000-8-1675-6,arika bridhikitti
f1000-8-1675-9,arika bridhikitti
f1000-3-145-0,augustin luna 
f1000-3-145-1,augustin luna 
f1000-6-1824-1,augustin luna 
f1000-7-725-3,augustin luna 
f1000-7-75-0,augustin luna 
f1000-7-75-3,augustin luna 
f1000-3-110-2,barry demchak 
f1000-5-1736-1,barry demchak 
f1000-6-58-2,barry demchak 
f1000-7-519-3,barry demchak 
f1000-7-519-7,barry demchak 
f1000-6-1676-0,bastian greshake 
f1000-6-1676-5,bastian greshake 
f1000-7-90-0,bastian greshake 
f1000-7-90-2,bastian greshake 
f1000-8-42-1,bastian greshake 
f1000-8-42-3,bastian greshake 
f1000-4-50-2,brad a. chapman
f1000-4-997-1,brad a. chapman
f1000-5-1889-0,brad a. chapman
f1000-5-386-0,brad a. chapman
f1000-7-1974-0,brad a. chapman
f1000-3-303-0,c. titus brown 
f1000-3-303-3,c. titus brown 
f1000-4-1377-0,c. titus brown 
f1000-6-760-0,c. titus brown 
f1000-7-272-0,c. titus brown 
f1000-7-272-5,c. titus brown 
f1000-5-1542-0,charlotte soneson 
f1000-6-1976-1,charlotte soneson 
f1000-6-1976-3,charlotte soneson 
f1000-6-595-3,charlotte soneson 
f1000-7-1740-1,charlotte soneson 
f1000-7-1740-5,charlotte soneson 
f1000-8-1435-1,christopher marlowe a. caipang
f1000-8-1435-2,christopher marlowe a. caipang
f1000-9-293-1,christopher marlowe a. caipang
f1000-9-293-2,christopher marlowe a. caipang
f1000-9-293-4,christopher marlowe a. caipang
f1000-5-2549-1,colin f. royse 
f1000-6-1996-0,colin f. royse 
f1000-7-1009-1,colin f. royse 
f1000-7-1783-1,colin f. royse 
f1000-9-571-0,colin f. royse 
f1000-2-138-0,david oppenheimer
f1000-2-138-5,david oppenheimer
f1000-2-5-2,david oppenheimer
f1000-2-5-3,david oppenheimer
f1000-2-6-0,david oppenheimer
f1000-2-153-0,david soll
f1000-2-153-4,david soll
f1000-2-238-2,david soll
f1000-3-119-0,david soll
f1000-4-135-2,david soll
f1000-4-69-0,davide martino
f1000-4-69-3,davide martino
f1000-6-1430-2,davide martino
f1000-6-2150-0,davide martino
f1000-6-2150-4,davide martino
f1000-4-1070-1,davide risso 
f1000-5-1281-2,davide risso 
f1000-6-1558-2,davide risso 
f1000-6-1976-0,davide risso 
f1000-6-1976-2,davide risso 
f1000-3-246-1,gary d. bader 
f1000-4-32-1,gary d. bader 
f1000-4-485-0,gary d. bader 
f1000-4-485-1,gary d. bader 
f1000-5-1714-1,gary d. bader 
f1000-3-113-0,georgia b. mcgaughey
f1000-3-113-1,georgia b. mcgaughey
f1000-4-118-4,georgia b. mcgaughey
f1000-4-75-3,georgia b. mcgaughey
f1000-5-591-2,georgia b. mcgaughey
f1000-4-126-2,graham scott
f1000-4-1502-1,graham scott
f1000-4-74-0,graham scott
f1000-4-76-1,graham scott
f1000-4-798-0,graham scott
f1000-4-798-4,graham scott
f1000-4-188-0,guru dutta satyarthee
f1000-4-804-0,guru dutta satyarthee
f1000-6-1801-0,guru dutta satyarthee
f1000-6-267-0,guru dutta satyarthee
f1000-7-1188-2,guru dutta satyarthee
f1000-5-2816-1,gustav nilsonne 
f1000-5-2816-4,gustav nilsonne 
f1000-5-781-0,gustav nilsonne 
f1000-7-90-1,gustav nilsonne 
f1000-7-90-3,gustav nilsonne 
f1000-2-263-2,hammad ather 
f1000-3-197-0,hammad ather 
f1000-3-314-2,hammad ather 
f1000-3-73-3,hammad ather 
f1000-4-54-1,hammad ather 
f1000-4-84-1,hammad ather 
f1000-5-1550-2,hammad ather 
f1000-8-423-0,hammad ather 
f1000-9-184-0,hammad ather 
f1000-9-184-2,hammad ather 
f1000-3-132-0,hans lassmann
f1000-3-132-3,hans lassmann
f1000-6-566-1,hans lassmann
f1000-7-514-0,hans lassmann
f1000-7-514-2,hans lassmann
f1000-7-514-4,hans lassmann
f1000-4-167-1,hilary ann coller
f1000-4-574-0,hilary ann coller
f1000-5-1889-1,hilary ann coller
f1000-5-1932-1,hilary ann coller
f1000-5-2414-3,hilary ann coller
f1000-5-381-1,hilary ann coller
f1000-6-1706-4,hilary ann coller
f1000-5-2348-0,holly m. bik 
f1000-5-2348-3,holly m. bik 
f1000-7-1734-1,holly m. bik 
f1000-7-272-1,holly m. bik 
f1000-7-272-3,holly m. bik 
f1000-3-119-1,ivan oransky 
f1000-4-886-1,ivan oransky 
f1000-5-2897-0,ivan oransky 
f1000-5-2897-3,ivan oransky 
f1000-5-683-0,ivan oransky 
f1000-5-683-1,ivan oransky 
f1000-3-95-3,james w. macdonald 
f1000-5-1384-1,james w. macdonald 
f1000-5-1384-3,james w. macdonald 
f1000-5-1408-2,james w. macdonald 
f1000-6-2055-1,james w. macdonald 
f1000-7-741-2,james w. macdonald 
f1000-4-1429-1,jan grau 
f1000-4-1429-2,jan grau 
f1000-5-158-0,jan grau 
f1000-7-1603-1,jan grau 
f1000-7-1603-3,jan grau 
f1000-2-42-0,janet wale
f1000-3-213-1,janet wale
f1000-3-77-2,janet wale
f1000-4-80-1,janet wale
f1000-4-80-2,janet wale
f1000-4-897-1,janet wale
f1000-7-1141-1,jean fan 
f1000-7-1141-3,jean fan 
f1000-7-1466-0,jean fan 
f1000-7-1466-2,jean fan 
f1000-7-1740-2,jean fan 
f1000-7-1740-6,jean fan 
f1000-9-512-2,jean fan 
f1000-4-466-2,jens foell 
f1000-5-1129-3,jens foell 
f1000-5-1903-0,jens foell 
f1000-5-2157-1,jens foell 
f1000-6-1512-0,jens foell 
f1000-7-216-1,jens foell 
f1000-7-216-2,jens foell 
f1000-6-229-1,jessica k. polka 
f1000-6-229-2,jessica k. polka 
f1000-6-229-4,jessica k. polka 
f1000-7-1655-1,jessica k. polka 
f1000-7-722-0,jessica k. polka 
f1000-7-722-4,jessica k. polka 
f1000-8-971-2,jessica k. polka 
f1000-8-971-4,jessica k. polka 
f1000-3-233-2,john a. lowe iii 
f1000-4-118-1,john a. lowe iii 
f1000-4-118-2,john a. lowe iii 
f1000-4-38-1,john a. lowe iii 
f1000-5-150-1,john a. lowe iii 
f1000-6-1505-4,john a. lowe iii 
f1000-7-1605-1,jonathan p. tennant 
f1000-7-803-2,jonathan p. tennant 
f1000-8-237-1,jonathan p. tennant 
f1000-8-237-2,jonathan p. tennant 
f1000-8-237-5,jonathan p. tennant 
f1000-7-1523-0,kae miyazawa
f1000-7-1523-1,kae miyazawa
f1000-7-1523-2,kae miyazawa
f1000-7-1523-5,kae miyazawa
f1000-7-1523-7,kae miyazawa
f1000-7-1523-8,kae miyazawa
f1000-7-1523-9,kae miyazawa
f1000-2-231-1,karin verspoor 
f1000-3-173-1,karin verspoor 
f1000-4-1453-1,karin verspoor 
f1000-4-1453-3,karin verspoor 
f1000-4-33-1,karin verspoor 
f1000-4-33-3,karin verspoor 
f1000-7-210-0,karin verspoor 
f1000-7-210-2,karin verspoor 
f1000-2-68-0,kenneth yamada 
f1000-3-60-0,kenneth yamada 
f1000-3-60-3,kenneth yamada 
f1000-9-449-0,kenneth yamada 
f1000-9-449-2,kenneth yamada 
f1000-2-157-2,kevin j black 
f1000-3-283-1,kevin j black 
f1000-3-283-2,kevin j black 
f1000-3-283-3,kevin j black 
f1000-5-2255-0,kevin j black 
f1000-7-952-0,kristoffer vitting-seerup 
f1000-7-952-3,kristoffer vitting-seerup 
f1000-7-952-6,kristoffer vitting-seerup 
f1000-8-265-2,kristoffer vitting-seerup 
f1000-8-265-5,kristoffer vitting-seerup 
f1000-3-50-1,laurent gatto 
f1000-6-1040-0,laurent gatto 
f1000-7-431-0,laurent gatto 
f1000-8-1459-1,laurent gatto 
f1000-8-1459-2,laurent gatto 
f1000-8-42-0,laurent gatto 
f1000-8-42-2,laurent gatto 
f1000-3-271-1,lawrence patrick kane 
f1000-3-271-4,lawrence patrick kane 
f1000-3-37-0,lawrence patrick kane 
f1000-3-37-3,lawrence patrick kane 
f1000-5-2271-1,lawrence patrick kane 
f1000-5-1492-0,leo lahti 
f1000-5-1492-3,leo lahti 
f1000-8-1769-0,leo lahti 
f1000-8-1769-2,leo lahti 
f1000-8-726-1,leo lahti 
f1000-4-1080-2,lihua julie zhu 
f1000-5-673-0,lihua julie zhu 
f1000-5-673-2,lihua julie zhu 
f1000-8-152-2,lihua julie zhu 
f1000-8-152-4,lihua julie zhu 
f1000-3-51-0,lynn fink
