f1000-1-1-0,carlos morel
f1000-1-1-1,nigel livesley
f1000-1-1-2,suzanne gaudreault
f1000-1-10-0,wenxia song
f1000-1-10-1,terry strom
f1000-1-10-2,wenxia song
f1000-1-11-0,michael k. gilson
f1000-1-11-1,patrick walters 
f1000-1-12-0,tobias spielman
f1000-1-12-1,norma w. andrews
f1000-1-12-2,malcolm mcconville
f1000-1-13-0,wally kos
f1000-1-13-1,nikolai bogduk
f1000-1-14-0,jonathan d wren
f1000-1-14-1,yves moreau
f1000-1-15-0,niki karavitaki 
f1000-1-15-1,francesco minuto
f1000-1-16-0,granger sutton 
f1000-1-16-1,ben busby 
f1000-1-17-0,david norton
f1000-1-17-1,elena bennett
f1000-1-18-0,alfredo carlo altamura
f1000-1-18-1,driss moussaoui
f1000-1-19-0,barry l. wanner
f1000-1-19-1,frederic bertels
f1000-1-19-2,barry l. wanner
f1000-1-19-3,frederic bertels
f1000-1-2-0,mihaela pertea 
f1000-1-2-1,mihaela pertea 
f1000-1-2-2,vera kalscheuer
f1000-1-2-3,thomas friedman
f1000-1-20-0,astrid mayr
f1000-1-20-1,ifeoma enweani
f1000-1-21-0,britt koskella
f1000-1-21-1,paul e. turner
f1000-1-21-2,paul e. turner
f1000-1-21-3,britt koskella
f1000-1-22-0,jeffrey chinsky
f1000-1-22-1,athanasios petridis
f1000-1-22-2,jeffrey chinsky
f1000-1-22-3,athanasios petridis
f1000-1-22-4,athanasios petridis
f1000-1-22-5,jeffrey chinsky
f1000-1-23-0,ali akoum
f1000-1-23-1,hisham kandil
f1000-1-23-2,ahmed fetouh
f1000-1-24-0,kirsty forrest
f1000-1-24-1,judy mckimm
f1000-1-25-0,peter silk
f1000-1-25-1,patrick tobin 
f1000-1-25-2,peter silk
f1000-1-25-3,patrick tobin 
f1000-1-26-0,laura privalle
f1000-1-26-1,argelia lorence
f1000-1-27-0,maurice w sabelis
f1000-1-27-1,dustin rubenstein
f1000-1-27-2,maurice w sabelis
f1000-1-27-3,dustin rubenstein
f1000-1-28-0,hermann einsele
f1000-1-28-1,sarah waheed
f1000-1-28-2,artur jurczyszyn
f1000-1-29-0,deborah sesok-pizzini
f1000-1-29-1,cees smit sibinga 
f1000-1-3-0,christian gilissen
f1000-1-3-1,peter n. robinson
f1000-1-30-0,chris margules
f1000-1-30-1,gary luck
f1000-1-31-0,frederic geissmann
f1000-1-31-1,eoin mckinney
f1000-1-32-0,adlette inati
f1000-1-32-1,maria luisa brandi
f1000-1-33-0,janusz jankowski
f1000-1-33-1,alex boussioutas
f1000-1-34-0,peter m schlag
f1000-1-34-1,s yousuf zafar
f1000-1-34-2,ian beales 
f1000-1-34-3,maria alsina maqueda
f1000-1-35-0,jay zweier
f1000-1-35-1,malte kelm
f1000-1-35-2,eddie weitzberg
f1000-1-35-3,jon lundberg
f1000-1-35-4,andre dejam
f1000-1-36-0,nathan fox
f1000-1-36-1,vikram talaulikar
f1000-1-36-2,nathan fox
f1000-1-36-3,vikram talaulikar
f1000-1-36-4,nathalie kapp
f1000-1-37-0,yassine amrani
f1000-1-37-1,boulos haraoui
f1000-1-38-0,barbara ensoli
f1000-1-38-1,frank j jenkins
f1000-1-38-2,maxwell fung
f1000-1-38-3,mohamed badawy abdel-naser
f1000-1-39-0,adlette inati
f1000-1-39-1,stephen nimer
f1000-1-39-2,sharon savage 
f1000-1-4-0,olaf isken
f1000-1-4-1,christopher g. proud
f1000-1-4-2,david fruman
f1000-1-40-0,martin potgieter
f1000-1-40-1,hugo asselin
f1000-1-40-2,hugo asselin
f1000-1-40-3,martin potgieter
f1000-1-41-0,giulio cantu
f1000-1-42-0,anastasios g hantzakos
f1000-1-42-1,nina shapiro
f1000-1-43-0,angelique goverde
f1000-1-43-1,richard a. anderson
f1000-1-44-0,rob basner
f1000-1-44-1,sairam parthasarathy
f1000-1-44-2,diederik nieuwenhuijs
f1000-1-45-0,gorazd voga
f1000-1-45-1,melanie wright
f1000-1-45-2,yan xiao
f1000-1-46-0,francisco a bonilla
f1000-1-46-1,anete grumach
f1000-1-46-2,cem akin
f1000-1-47-0,grace zhai
f1000-1-47-1,joy goto
f1000-1-48-0,natalie afshari
f1000-1-48-1,michael w belin
f1000-1-48-2,virender sangwan
f1000-1-49-0,avinash supe
f1000-1-49-1,amol dongre
f1000-1-49-2,carol ann courneya
f1000-1-5-0,mark bix
f1000-1-5-1,alan schechter
f1000-1-5-2,nina papavasiliou
f1000-1-5-3,sebastian fugmann
f1000-1-50-0,jennifer clancy
f1000-1-50-1,terry elton
f1000-1-50-2,peter sarnow
f1000-1-51-0,michael a levine
f1000-1-51-1,gordon klein
f1000-1-52-0,pascal leblanc
f1000-1-52-1,igor zaitsev
f1000-1-52-2,robert somerville
f1000-1-52-3,hubert laude
f1000-1-53-0,bruce biccard
f1000-1-53-1,sripal bangalore
f1000-1-54-0,huguette turgeon
f1000-1-54-1,victoria arija val
f1000-1-54-2,gerald keusch
f1000-1-55-0,olga vikhireva
f1000-1-55-1,martin mckee 
f1000-1-56-0,robin steinhorn
f1000-1-56-1,peter nagele
f1000-1-56-2,cesar picado
f1000-1-57-0,jon tobias
f1000-1-57-1,daniel bikle
f1000-1-57-2,dominique garrel
f1000-1-58-0,jurg bahler
f1000-1-58-1,toru m. nakamura 
f1000-1-58-2,hisao masai
f1000-1-59-0,vance berger
f1000-1-59-1,james roger
f1000-1-6-0,john svigos
f1000-1-6-1,john svigos
f1000-1-6-2,laxmi baxi
f1000-1-60-0,m. rashad massoud 
f1000-1-60-1,gill walt
f1000-1-60-2,elizabeth molyneux
f1000-1-61-0,alexander n. freiberg
f1000-1-61-1,michael holbrook
f1000-1-61-2,dennis a bente
f1000-1-62-0,thomas meier
f1000-1-62-1,gregory cook
f1000-1-62-2,thomas meier
f1000-1-63-0,matteo giaj levra
f1000-1-63-1,florence duffaud
f1000-1-64-0,rita de sanctis
f1000-1-64-1,rita de sanctis
f1000-1-64-2,jay thomas
f1000-1-65-0,ramalingam sankran
f1000-1-65-1,supten sarbadhikari
f1000-1-66-0,manish ponda
f1000-1-66-1,tushar vachharajani
f1000-1-67-0,benoit nemery de bellevaux
f1000-1-67-1,benoit nemery de bellevaux
f1000-1-67-2,youcheng liu
f1000-1-68-0,isabel andia
f1000-1-68-1,xander van rijen
f1000-1-68-2,nicola maffulli 
f1000-1-69-0,anne west
f1000-1-69-1,michael shiflett
f1000-1-7-0,ege kavalali 
f1000-1-7-1,howard eichenbaum
f1000-1-70-0,ottavio arancio
f1000-1-70-1,george perry 
f1000-1-70-2,w.sue t griffin
f1000-1-71-0,bruce lyon
f1000-1-71-1,david lahti
f1000-1-8-0,mariapia delgi-esposti
f1000-1-8-1,peter ghazal
f1000-1-8-2,barry rouse
f1000-1-9-0,regina kuliawat
